INFO 2022-07-18 18:00:20,737 ******************************** EJECUCIÓN INICIALIZADA ********************************
INFO 2022-07-18 18:04:21,706 ******************************** NUEVA EJECUCION INICIALIZADA ********************************
INFO 2022-07-18 18:16:43,641 ******************************** NUEVA EJECUCION INICIALIZADA ********************************
INFO 2022-07-18 18:18:01,470 ******************************** NUEVA EJECUCION INICIALIZADA ********************************
INFO 2022-07-18 18:19:49,220 ******************************** NUEVA EJECUCION INICIALIZADA ********************************
INFO 2022-07-18 18:20:51,814 ******************************** NUEVA EJECUCION INICIALIZADA ********************************
INFO 2022-07-18 18:20:54,366 El archivo ./folder1/00000_Reserva_20220308_20220301_20220331.xlsm fue leido correctamente y sera usado para consolidacion. Espere confirmacion
INFO 2022-07-18 18:20:54,874 El archivo C:/Users/danee/Downloads/testfolder/00000_20220718_20220301_20220331.xlsx fue consolidado y guardado
INFO 2022-07-18 18:20:58,898 El archivo ./folder1/13149_cuentasxcobrar_20220330_20220301_20220331.xlsx fue leido correctamente y sera usado para consolidacion. Espere confirmacion
INFO 2022-07-18 18:21:00,146 El archivo ./folder1/13149_Reserva_20220324_20220301_20220331.xlsx fue leido correctamente y sera usado para consolidacion. Espere confirmacion
INFO 2022-07-18 18:21:00,457 El archivo C:/Users/danee/Downloads/testfolder/13149_20220718_20220301_20220331.xlsx fue consolidado y guardado
INFO 2022-07-18 18:21:04,302 El archivo ./folder1/19999_Patrimonio_20220322_20220301_20220331.xls fue leido correctamente y sera usado para consolidacion. Espere confirmacion
INFO 2022-07-18 18:21:04,829 El archivo C:/Users/danee/Downloads/testfolder/19999_20220718_20220301_20220331.xlsx fue consolidado y guardado
INFO 2022-07-18 18:21:08,637 El archivo ./folder1/202203/hola/8888_cuentasxcobrar_20220101_20220101_20220131.xlsx fue leido correctamente y sera usado para consolidacion. Espere confirmacion
INFO 2022-07-18 18:21:09,800 El archivo ./folder1/202203/hola/8888_revision_20220103_20220101_20220131.xlsx fue leido correctamente y sera usado para consolidacion. Espere confirmacion
